Document Title,EC1,EC2,EC3,EC4,EC5
Game Engine Wizardry for Programming Mischief,-,-,-,-,-
Improving Bug Reproduction through Game Engine State Analysis,-,-,-,-,-
Design of Artificial Intelligence Enabled Game Engine,-,-,-,-,-
Towards Scalable Cloud Gaming Systems: Decoupling Physics from the Game Engine,-,-,-,-,-
Towards a Resource-aware Middleware Support for Distributed Game Engine Design,-,-,-,-,-
Recipes for Creating Digital Game Prototypes,-,-,-,-,X
Neural Network Assisted Depth Map Packing for Compression Using Standard Hardware Video Codecs,-,-,-,-,-
Animating Street View,-,-,-,-,X
Designing for Digital Hybridisation of Theatre,X,-,-,-,-
Maestro: The Analysis-Simulation Integrated Framework for Mixed Reality,-,-,-,-,X
FaceFolds: Meshed Radiance Manifolds for Efficient Volumetric Rendering of Dynamic Faces,X,-,-,-,-
Poster: Maestro: The Analysis-Simulation Integrated Framework for Mixed Reality,X,-,-,-,-
Development of Real-Time QA/QC Tools for AEC in Unity,-,-,-,-,-
Visual Scripting in Unity: A Comparative Analysis of Existing Frameworks,-,-,-,-,-
Automated evaluation of game content display using deep&nbsp;learning,-,-,-,-,-
Human-powered AI Gym: Lessons Learned as the Test and Evaluation Team for the DARPA SHADE Program: Human-powered AI Gym,X,-,-,-,-
Pushing the Limits of Video Game Performance: A Performance Engineering Perspective,-,-,-,-,-
Physically-based Lighting of 3D Point Clouds for Quality Assessment,-,-,-,-,-
Introduction to Scripting in Blender3D: Computational Geometry Algorithms,X,-,-,-,-
A Motion-Simulation Platform to Generate Synthetic Motion Data for Computer Vision Tasks,X,-,-,-,-
Cine-AI: Generating Video Game Cutscenes in the Style of Human Directors,X,-,-,-,-
Automated Generation of Map Pieces for Snappable Meshes,X,-,-,-,-
Automated Simulation and Virtual Reality Coupling for Interactive Digital Twins,X,-,-,-,-
Real Robot Dance Challenge: Exploring live and online dance challenge videos for robot movement,X,-,-,-,-
PM4VR: A Scriptable Parametric Modeling Interface for Conceptual Architecture Design in VR,X,-,-,-,-
WheelPose: Data Synthesis Techniques to Improve Pose Estimation Performance on Wheelchair Users,X,-,-,-,-
Unit Test Generation using Large Language Models for Unity Game Development,X,-,-,-,-
Blender Scripting for Creative Coding Projects,X,-,-,-,-
Performance and User Experience Studies of HILLES: Home-based Immersive Lower Limb Exergame System,X,-,-,-,-
360° Animation Projects by Students with a Background in Traditional Stop-Motion Techniques,X,-,-,-,-
The Future of Interaction with Mobile Game Characters,-,-,-,-,-
Virtual Reality Dance Tracks from Skeletal Animations,-,-,-,-,X
Effect-based Multi-viewer Caching for Cloud-native Rendering,X,-,-,-,-
Evaluating Virtual Reality Simulations for Wheel Loader Inspection,X,-,-,-,-
Evolving Assembly Code in an Adversarial Environment,X,-,-,-,-
Advances in Real Time Audio Rendering - Part 1,X,-,-,-,-
ScriptButler serves an Empirical Study of PuzzleScript: Analyzing the Expressive Power of a Game DSL through Source Code Analysis,X,-,-,-,-
A Mixed Reality Approach for Innovative Pair Programming Education with a Conversational AI Virtual Avatar,X,-,-,-,-
Efficient Visibility Approximation for Game AI using Neural Omnidirectional Distance Fields,X,-,-,-,-
Codeseum: Learning Introductory Programming Concepts through Virtual Reality Puzzles,X,-,-,-,-
Applying Larger N-Tuple Networks to EinStein Wurfelt Nicht!,X,-,-,-,-
Charting the Uncharted with GUR: How AI Playtesting Can Supplement Expert Evaluation,X,-,-,-,-
Based on Navmesh to implement AI intelligent pathfinding in three-dimensional maps in UE4,-,-,-,-,-
Monocular 3D Pose Estimation of Very Small Airplane in the Air,X,-,-,-,-
Because the Night - Immersive Theatre for Digital Audiences: Mapping the affordances of immersive theatre to digital interactions using game engines,X,-,-,-,-
Interacting with Neural Radiance Fields in Immersive Virtual Reality,X,-,-,-,-
