Document Title,EC1,EC2,EC3,EC4,EC5
A Comparison of Performance on WebGPU and WebGL in the Godot Game Engine,-,-,-,-,-
FLEXIBLE RULES: A Player Oriented Board Game Development Framework,-,-,-,-,X
Design and evaluation of methods to prevent frame cancellation in real-time stereoscopic rendering,X,-,-,-,-
"[DEMO] MRI design review system: A mixed reality interactive design review system for architecture, serious games and engineering using game engines, standard software, a tablet computer and natural interfaces",-,-,-,-,X
Evaluation of a 3D physics classroom with Myo gesture control armband and unity,-,-,-,-,X
Using a rendering engine to support the development of immersive virtual reality applications,-,-,-,-,-
Development of the educational software based on a game engine,-,-,-,-,X
Using game engine to enhance mobility modeling in network simulations,-,-,-,-,-
Enhancement of Learning Management System (LMS) by serious game engine: Collaborative,-,-,-,-,X
IntPhys 2019: A Benchmark for Visual Intuitive Physics Understanding,X,-,-,-,X
Porting and optimizing Music and Emotion Driven Game Engine from PC platform to PS 3 platform,-,-,-,-,-
DVB Coverage Prediction Using Game Engine Based Ray-Tracing Techniques,-,-,-,-,X
Performance Analysis of RTX Architecture in Virtual Production and Graphics Processing,-,-,-,-,-
Graphics Processing in Virtual Production,-,-,-,-,-
Evaluation of Proximal Policy Optimization with Extensions in Virtual Environments of Various Complexity,X,-,-,-,X
Performance Validation and Comparison of Range/INS Integrated System in Urban Navigation Environment Using Unity3D and PILS,-,-,-,-,X
Active Learning Prototypes for Teaching Game AI,-,-,-,-,-
Pair- versus solo-programming of mini-games as a setting for learning to program: An Action Research approach,-,-,-,-,X
Game Engine Architecture and Comparative Study of Different Game Engines,-,-,-,-,-
A Benchmark Environment for Offline Reinforcement Learning in Racing Games,-,-,-,-,X
Application for Python Programming Language Education Developed by Unity Engine,-,-,-,-,X
Developing MOBA games using the Unity game engine,-,-,-,-,-
"Robot arm simulation using 3D software application with 3D modeling, programming and simulation support",X,-,-,-,X
Deep Reinforcement Learning Tf-Agent-Based Object Tracking With Virtual Autonomous Drone in a Game Engine,-,-,-,-,X
E-Render: Enabling UHD-Quality Cloud Gaming Through Edge Rendering,X,-,-,-,X
A survey of cloth simulation and applications,X,-,-,-,X
Infrared-Visible Synthetic Data from Game Engine for Image Fusion Improvement,X,-,-,-,X
Workflow to Optimization of 3D Models for Game Development,-,-,-,-,-
Co-evolutionary particle swarm optimization applied to the 7/spl times/7 Seega game,X,-,-,-,X
Rendering sound and images together,-,-,-,-,-
Vehicular Networks Simulation With Realistic Physics,-,-,-,-,X
Getting Started with Videogame Development,-,-,-,-,-
Virtual Character Control by Brain-Computer Interface and Comparison of Performance Metrics,-,-,-,-,X
Performance evaluation of a VR-based arm rehabilitation using movement sequence pattern,-,-,-,-,X
"Darknet as a Source of Cyber Intelligence: Survey, Taxonomy, and Characterization",X,-,-,-,X
On imitating Connect-4 game trajectories using an approximate n-tuple evaluation function,X,-,-,-,X
A Survey of Solutions for Game Engines in the Development of Immersive Applications for Multi-projection Systems as Base for a Generic Solution Design,-,-,-,-,-
Developing video games with elementary adaptive artificial intelligence in unity: An intelligent systems approach,-,-,-,-,-
Comparison of PPO and SAC Algorithms Towards Decision Making Strategies for Collision Avoidance Among Multiple Autonomous Vehicles,X,-,-,-,X
Simulation Based Learning System,-,-,-,-,X
Comparison of Crowdsourced and Remote Subjective User Studies: A Case Study of Investigative Child Interviews,X,-,-,-,X
City Scale Digital Twins for Mobility Emissions Evaluation,X,-,-,-,X
Comparison of two workflows for Web-based 3D smart home visualizations,X,-,-,-,X
Glasses-free Autostereoscopic Viewing on Laptop through Spatial Tracking,X,-,-,-,X
Simulation Framework for Evaluation of Indoor Navigation Systems,X,-,-,-,X
SpaceGym: Discrete and Differential Games in Non-Cooperative Space Operations,X,-,-,-,X
CPU Meets VR: A Scalable 3D Representation of Manycores for Behavior Analysis,-,-,-,-,X
Training Simulations for Crime Risk Assessment,X,-,-,-,X
Scalable Collaborative Software Visualization as a Service: Short Industry and Experience Paper,X,-,-,-,X
VoxSculpt: An Open-Source Voxel Library for Tomographic Volume Sculpting in Virtual Reality,-,-,-,-,-
The Path Exploration of University Ideological and Political Courses Based on the Concept of Metaverse,-,-,-,-,X
Towards an “In-the-Wild” Emotion Dataset Using a Game-Based Framework,-,-,-,-,X
Demo Abstract: Demonstrating Resource-Efficient SLAM in Virtual Spacecraft Environments,X,-,X,-,X
Lightweight Multi-objective Voice Adaptation for Real-time Speech Interaction Applied in Games,-,-,-,-,X
Workforce training: An application trough an 3DVLE on Unreal Engine,-,-,-,-,X
Character Behavior Automation Using Deep Reinforcement Learning,X,-,-,-,X
SRC3: A Video Dataset for Evaluating Domain Mismatch,X,-,-,-,X
Virtual-reality based visualization of cardiac arrhythmias on mobile devices,X,-,-,-,X
Implementation of a Virtual Reality Escape Room Game,-,-,-,-,X
An End-to-End System for Real-Time Dynamic Point Cloud Visualization,X,-,-,-,X
Bridging the Reality Gap Between Virtual and Physical Environments Through Reinforcement Learning,X,-,-,-,X
Cloud-Based Dynamic Streaming and Loading of 3D Scene,-,-,-,-,X
A Virtual-Reality System for Interacting with Three-Dimensional Models Using a Haptic Device and a Head-Mounted Display,-,-,-,-,X
A Virtual Pet for Children with Autism Spectrum Disorders (ASD),X,-,-,-,X
WAVE: Interactive Wave-based Sound Propagation for Virtual Environments,-,-,-,-,-
Expecting the Unexpected: Training Detectors for Unusual Pedestrians with Adversarial Imposters,X,-,-,-,X
Gaining Student Engagement Through Project-Based Learning: A Competitive 2D Game Construction Case Study,-,-,-,-,X
uAdventure: Simplifying Narrative Serious Games Development,-,-,-,-,X
Edge Computing Resources Reservation in Vehicular Networks: A Meta-Learning Approach,X,-,-,-,X
VR-Interactions for Planning Planetary Swarm Exploration Missions in VaMEx-Vtb,X,-,-,-,X
Design for Collaboration in Mixed Reality: Technical Challenges and Solutions,X,-,-,-,X
OVVV: Using Virtual Worlds to Design and Evaluate Surveillance Systems,X,-,-,-,X
Tiny online game engines,-,-,-,-,-
