Document Title,EC1,EC2,EC3,EC4,EC5
Curved - free-form interaction using capacitive proximity sensors,X,-,-,-,-
"A fast, lightweight deep learning vision pipeline for autonomous UAV landing support with added robustness",X,-,-,-,-
A comparative study of Augmented Reality rendering techniques for industrial assembly inspection,X,-,-,-,-
"Adopting a Game Engine for Large, High-Resolution Displays",-,-,-,-,-
An interactive framework to support decision-making for Digital Twin design,X,-,-,-,-
"Emergency exit planning and simulation environment using gamification, artificial intelligence and data analytics",X,-,-,-,-
Research on Key Technologies of Garbage Classification Virtual Simulation Game Development Based on unity3d Technology,X,-,-,-,-
Development of Two Dimension (2D) Game Engine with Finite State Machine (FSM) Based Artificial Intelligence (AI) Subsystem,-,-,-,-,-
Immersive Interaction in Digital Factory: Metaverse in Manufacturing,X,-,-,-,-
User Experience of Educational Games: A Review of the Elements,X,-,-,-,-
Using Simulation-software-generated Animations to Investigate Attitudes Towards Autonomous Vehicles Accidents,X,-,-,-,-
An Intelligent Virtual Environment for Designers with Reduced Motor Abilities,X,-,-,-,-
Feasible Technology for Augmented Reality in Fashion Retail by Implementing a Virtual Fitting Room,X,-,-,-,-
Advanced liver surgery training in collaborative VR environments,X,-,-,-,-
Industrial Robot Training in the Simulation Using the Machine Learning Agent,X,-,-,-,-
Real-time rendering and physics of complex dynamic terrains modeled as CSG trees of DEMs carved with spheres,X,-,-,-,-
"Investigating the impact of greenery elements in office environments on cognitive performance, visual attention and distraction: An eye-tracking pilot-study in virtual reality",X,-,-,-,-
Virtual Ray Tracer 2.0,X,-,-,-,-
"Theories, methodologies, and effects of affect-adaptive games: A systematic review",X,-,-,-,-
A mobile game for enhancing Tourism and Cultural Heritage,X,-,-,-,-
CodeCity: A comparison of on-screen and virtual reality,X,-,-,-,-
"Virtual Hydrogen, a virtual reality education tool in physics and chemistry",X,-,-,-,-
Interaction design for paediatric emergency VR training,X,-,-,-,-
Interactive dense point clouds in a game engine,-,-,-,-,-
A framework for a multi-agent traffic simulation using combined behavioural models,X,-,-,-,-
From “prepare for the unknown” to “train for what's coming”: A digital twin-driven and cognitive training approach for the workforce of the future in smart factories,X,-,-,-,-
Toward mobile entertainment: A paradigm for narrative-based audio only games,X,-,-,-,-
CFD Post-processing in Unity3D,-,-,-,-,-
A Digital Twin of an Off Highway Vehicle based on a Low Cost Camera,X,-,-,-,-
Accelerating sailfish optimization applied to unconstrained optimization problems on graphical processing unit,X,-,-,-,-
Gamifying cultural heritage: Exploring the potential of immersive virtual exhibitions,X,-,-,-,-
A novel method for adaptive terrain rendering using memory-efficient tessellation codes for virtual globes,X,-,-,-,-
Survival games for humans and machines,X,-,-,-,-
Indoor Synthetic Data Generation: A Systematic Review,X,-,-,-,-
Combining gaze and AI planning for online human intention recognition,X,-,-,-,-
Two-phase real-time rendering method for realistic water refraction,X,-,-,-,-
Fast analytical motion blur with transparency,X,-,-,-,-
EKSPANPIXEL BLADSY STRANICA: Performance Efficiency Improvement of Making Front-End Website Using Computer Aided Software Engineering Tool,X,-,-,-,-
Can adversarial networks hallucinate occluded people with a plausible aspect?,X,-,-,-,-
Hybrid defense mechanism against malicious packet dropping attack for MANET using game theory,X,-,-,-,-
Whole brain connectomic architecture to develop general artificial intelligence,X,-,-,-,-
The role of different light settings on the perception of realism in virtual replicas in immersive Virtual Reality,X,-,-,-,-
Development of augmented reality serious games with a vibrotactile feedback jacket,X,-,-,-,-
The Framework for Rapid Graphics Application Development: The Multi-scale Problem Visualization,X,-,-,-,-
“Braking bad”: The influence of haptic feedback and tram driver experience on emergency braking performance,X,-,-,-,-
Virtual simulations of ancient sites inhabited by autonomous characters: Lessons from the development of Easy-population,X,-,-,-,-
Intrinsic image decomposition using physics-based cues and CNNs,X,-,-,-,-
Effects of augmented reality on learning and cognitive load in university physics laboratory courses,X,-,-,-,-
High performance GPU graphics API abstraction layer in C# for real-time graphics,X,-,-,-,-
Taking visual motion prediction to new heightfields,X,-,-,-,-
A computational model of Ostrom's Institutional Analysis and Development framework,X,-,-,-,-
Efficient Visualization of Urban Simulation Data Using Modern GPUs,X,-,-,-,-
Autonomous UAV Navigation using Deep Learning-Based Computer Vision Frameworks: A Systematic Literature Review,X,-,-,-,-
SyDRA: An approach to understand game engine architecture,-,-,-,-,-
A multi-agent framework for collaborative geometric modeling in virtual environments,X,-,-,-,-
Knowledge-Based Management of Virtual Training Scenarios,X,-,-,-,-
Improving Visualization Courses in Russian Higher Education in Computational Science and High Performance Computing,X,-,-,-,-
The Use of Augmented Reality as a University Teaching Strategy in Health Sciences Programs: A Scoping Review,X,-,-,-,-
Development of a novel robot-assisted vocabulary learning system using pure synthetic data,X,-,-,-,-
Sideffect GamePlan: Development of an alcohol and other drug serious game for high school students using a systematic and iterative user-centred game development framework,X,-,-,-,-
Virtual reality visualization of geophysical flows: A framework,X,-,-,-,-
Training on LSA lifeboat operation using Mixed Reality,X,-,-,-,-
Realistic Simulation in Virtual Fitting Room Using Physical Properties of Fabrics,X,-,-,-,-
Digital twinning for smart restoration of classic cars,X,-,-,-,-
A pose generation model for animated characters based on DCNN and PFNN,X,-,-,-,-
Development of a virtual analogue of uranium-graphite subcritical assembly and visualization of the neutron flux distribution in virtual reality,X,-,-,-,-
XR technologies to enhance the emotional skills of people with autism spectrum disorder: A systematic review,X,-,-,-,-
Analysis of cerebral blood flow state during a mental rotation task to assess spatial perception ability,X,-,-,-,-
An indoor thermal environment design system for renovation using augmented reality,X,-,-,-,-
Asynchronous industrial collaboration: How virtual reality and virtual tools aid the process of maintenance method development and documentation creation,X,-,-,-,-
Crafting the techno-functional blocks for Metaverse - A review and research agenda,X,-,-,-,-
Cognitive Rehabilitation: A Comparison Model of a Digital Environment based on Serious Games and the Traditional Methods,X,-,-,-,-
Exploring and interrogating astrophysical data in virtual reality,X,-,-,-,-
BIM-supported drone path planning for building exterior surface inspection,X,-,-,-,-
Co-evolving scenarios and simulated players to locate bugs that arise from the interaction of software models of video games,X,-,-,-,-
Applying Behavior characteristics to decision-making process to create believable game AI,X,-,-,-,-
"The Development and Prototyping of Game Modeling At A Family Entertainment Center, Utilizing Web-Based Arduino Technology For Calculating CAGR",X,-,-,-,-
Rapid Deployment and Evaluation of Mobile Serious Games: A Cognitive Assessment Case Study,-,-,-,-,X
Virtual forests for decision support and stakeholder communication,X,-,-,-,-
Virtual simulation experiment of the design and manufacture of a beer bottle-defect detection system,X,-,-,-,-
Experimental evaluation of interactive Edge/Cloud Virtual Reality gaming over Wi-Fi using unity render streaming,X,-,-,-,-
User-Centred Product Design with Photorealistic Virtual Prototypes: A Case Study on Process Optimisation for Aesthetic Quality Enhancement,X,-,-,-,-
"Wearables to detect independent variables, objective task performance, and metacognitive states",X,-,-,-,-
Improving the performance of RRT path planning of excavators by embedding heuristic rules,X,-,-,-,-
Mixed reality and remote sensing application of unmanned aerial vehicle in fire and smoke detection,X,-,-,-,-
Non-photorealistic Visualization of 3D City Models using Visual Variables in Virtual Reality Environments,X,-,-,-,-
Multi-agent crowd simulation on large areas with utility-based behavior models: Sochi Olympic Park Station use case,X,-,-,-,-
Using RDF Data as Basis for 3D Window Management in Mobile Devices,X,-,-,-,-
Virtualization of Digitalized Cultural Heritage and Use Case Scenario Modeling for Sustainability Promotion of National Identity,X,-,-,-,-
Parameterizing agent-based models using an online game,X,-,-,-,-
An enhanced 3D model and generative adversarial network for automated generation of horizontal building mask images and cloudless aerial photographs,X,-,-,-,-
Feasibility Study of Ubiquitous Interaction Concepts,X,-,-,-,-
Assessing future landscapes using enhanced mixed reality with semantic segmentation by deep learning,X,-,-,-,-
"Prototyping ""Color in Life"" EduGame for Dichromatic Color Blind Awareness",X,-,-,-,-
Augmented reality-based visual-haptic modeling for thoracoscopic surgery training systems,X,-,-,-,-
Vulkan all the way: Transitioning to a modern low-level graphics API in academia,X,-,-,-,-
Asyncflow: A visual programming tool for game artificial intelligence,X,-,-,-,-
Knowledge acquisition for adaptive game AI,X,-,-,-,-
Adding Physical Properties to 3D Models in Augmented Reality for Realistic Interactions Experiments,X,-,-,-,-
VR-based digital twin for remote monitoring of mining equipment: Architecture and a case study,X,-,-,-,-
Interactive Sensor Dashboard for Smart Manufacturing,X,-,-,-,-
The time course of spatial knowledge acquisition for different digital navigation aids,X,-,-,-,-
Educational Mobile Application of Augmented Reality Based on Markers to Improve the Learning of Vowel Usage and Numbers for Children of a Kindergarten in Trujillo,X,-,-,-,-
"ViMantic, a distributed robotic architecture for semantic mapping in indoor environments",X,-,-,-,-
Game-based Activity Design in Primary School Students’ Learning Style Detection,X,-,-,-,-
G2L: A Global to Local Alignment Method for Unsupervised Domain Adaptive Semantic Segmentation,X,-,-,-,-
Collaborative virtual reality based advanced cardiac life support training simulator using virtual reality principles,X,-,-,-,-
Rehabilitation Using Kinect-based Games and Virtual Reality,X,-,-,-,-
Modeling emotion and inference as a value calculation system,X,-,-,-,-
An Intuitive VR-based Environment for Monitoring and Control of Electrical Power Substations,X,-,-,-,-
Do VR and AR versions of an immersive cultural experience engender different user experiences?,X,-,-,-,-
"Augmented Reality for Scene Text Recognition, Visualization and Reading to Assist Visually Impaired People",X,-,-,-,-
VEGO: A novel design towards customizable and adjustable head-mounted display for VR,X,-,-,-,-
