Document Title,EC1,EC2,EC3,EC4,EC5
{The {Potential} of {Game} {Development} {Platforms} for {Digital} {Twins} and {Virtual} {Labs}},-,-,-,-,X
{{GVRf} and {Blender}: {A} {Path} for {Android} {Apps} and {Games} {Development}},X,-,-,-,X
{Teaching {3D} {Arts} {Using} {Game} {Engines} for {Engineering} and {Architecture}},-,-,-,-,X
{The {Application} of {Visual} {Image} and {Interactive} {Storytelling} to {Stage} {Performance}},-,-,-,-,X
{A {Benchmark} and {Simulator} for {UAV} {Tracking}},X,-,-,-,X
{Software {Architectures} and the {Creative} {Processes} in {Game} {Development}},-,-,-,-,-
{Towards a {Structured} {Selection} of {Game} {Engines} for {Virtual} {Environments}},-,-,-,-,-
{Programming {Virtual} {Interactions} for {Gamified} {Educational} {Proposes} of {Urban} {Spaces}},-,-,-,-,-
{Haptic {User} {Interface} {Integration} for {3D} {Game} {Engines}},-,-,-,-,-
{Integrating {Stereoscopic} {Video} in {3D} {Games}},-,-,-,-,-
{A {3D} {Simulator} of {Multiple} {Legged} {Robots} {Based} on {USARSim}},X,-,-,-,X
{{VClav} 2.0 – {System} for {Playing} {3D} {Virtual} {Copy} of a {Historical} {Clavichord}},-,-,-,-,X
{Paracosm: {A} {Test} {Framework} for {Autonomous} {Driving} {Simulations}},X,-,-,-,X
{Emotionally {Adapted} {Games} – {An} {Example} of a {First} {Person} {Shooter}},X,-,-,-,X
{Gamification in the {Development} of {Accessible} {Software}},-,-,-,-,X
{Collaborative {Visualization} of a {Warfare} {Simulation} {Using} a {Commercial} {Game} {Engine}},-,-,-,-,-
{Social {Puppets}: {Towards} {Modular} {Social} {Animation} for {Agents} and {Avatars}},X,-,-,-,X
{Searching for {Concurrent} {Design} {Patterns} in {Video} {Games}},-,-,-,-,X
{Using {Game} {Engines} for {Visualization} in {Scientific} {Applications}},-,-,-,-,-
{Web-{Based} {Visualization} {Component} for {Geo}-{Information}},-,-,-,-,X
{{UnrealCV}: {Connecting} {Computer} {Vision} to {Unreal} {Engine}},-,-,-,-,-
{Anyboard: {A} {Platform} for {Hybrid} {Board} {Games}},X,-,-,-,X
{Playing for {Data}: {Ground} {Truth} from {Computer} {Games}},-,-,-,-,X
{Author-{Driven} {Approaches} to {Computational} {Narrative} {Design} for {Games}},X,-,-,-,X
{{3D} {Design} for {Augmented} {Reality}},X,-,-,-,X
{Advanced {Data} {Driven} {Visualisation} for {Geo}-spatial {Data}},X,-,-,-,X
{A {Testbed} for {Rapid} {Design} and {Evaluation} of {VR} {Navigation} {Techniques} for {Industrial} {Applications}},X,-,-,-,X
{Using {Game} {Engines} in {Mixed} {Reality} {Installations}},-,-,-,-,X
{Real-{Time} {Hair} {Rendering} {Using} {Sequential} {Adversarial} {Networks}},X,-,-,-,-
{Leveraging a {Virtual} {Environment} to {Prepare} for {School} {Shootings}},X,-,-,-,X
{Interactive {Visualization} of {Interdependencies} and {Vulnerabilities} in {Constrained} {Environments}},X,-,-,-,X
{Games for {Research}: {A} {Comparative} {Study} of {Open} {Source} {Game} {Projects}},X,-,-,-,X
{Modding as an {Open} {Source} {Approach} to {Extending} {Computer} {Game} {Systems}},-,-,-,-,X
{Videogame {Technology} in {Architecture} {Education}},-,-,-,-,X
{The {ICOCOON} {Virtual} {Meeting} {Room}: {A} {Virtual} {Environment} as a {Support} {Tool} for {Multipoint} {Teleconference} {Systems}},X,-,-,-,X
{Parallelizing a {Real}-{Time} {Physics} {Engine} {Using} {Transactional} {Memory}},X,-,-,-,X
{Development of an {Audio}-{Haptic} {Virtual} {Interface} for {Navigation} of {Large}-{Scale} {Environments} for {People} {Who} {Are} {Blind}},X,-,-,-,X
{Multi-modal {System} {Architecture} for {Serious} {Gaming}},-,-,-,-,-
{Integration of {CityGML} and {Collada} for {High}-{Quality} {Geographic} {Data} {Visualization} on the {PC} and {Xbox} 360},X,-,-,-,X
{{SoundPark}: {Towards} {Highly} {Collaborative} {Game} {Support} in a {Ubiquitous} {Computing} {Architecture}},X,-,-,-,X
{Noise {Modeler}: {An} {Interactive} {Editor} and {Library} for {Procedural} {Terrains} via {Continuous} {Generation} and {Compilation} of {GPU} {Shaders}},X,-,-,-,X
{Critical {Infrastructure} {Protection} {Risk} {Modelling} with {Games} {Technology}},-,-,-,-,X
{Serious {Games}: {Customizing} the {Audio}-{Visual} {Interface}},X,-,-,-,X
{A {Data}-{Driven} {Entity}-{Component} {Approach} to {Develop} {Universally} {Accessible} {Games}},X,-,-,-,X
{Towards {Learning} a {Realistic} {Rendering} of {Human} {Behavior}},X,-,-,-,X
{Solving {Rendering} {Issues} in {Realistic} {3D} {Immersion} for {Visual} {Rehabilitation}},X,-,-,-,X
{Developing {Adaptive} {Mobile} {Support} for {Crisis} {Response} in {Synthetic} {Task} {Environments}},X,-,-,-,X
{Continuous {Level} of {Detail} on {Graphics} {Hardware}},-,-,-,-,X
{Intuitive {3D} {Model} {Prototyping} with {Leap} {Motion} and {Microsoft} {HoloLens}},-,-,-,-,X
{Real-{Time} {Motion} {Capture} on a {Budget}},-,-,-,-,X
{Complex {Game} {Design} {Modeling}},-,-,-,-,X
{Implementation of {Educational} {Drum} {Contents} {Using} {Mixed} {Reality} and {Virtual} {Reality}},X,-,-,-,X
{Augmented {Reality} and {Microbit} for {Project}-{Based} {Learning}},-,-,-,-,X
{Investigating {Low}-{Cost} {Virtual} {Reality} {Technologies} in the {Context} of an {Immersive} {Maintenance} {Training} {Application}},-,-,-,-,X
{A {Fragment} {Culling} {Technique} for {Rendering} {Arbitrary} {Portals}},-,-,-,-,X
{Teaching {UAVs} to {Race}: {End}-to-{End} {Regression} of {Agile} {Controls} in {Simulation}},X,-,-,-,X
{{LCrowdV}: {Generating} {Labeled} {Videos} for {Simulation}-{Based} {Crowd} {Behavior} {Learning}},-,-,-,-,X
{Development of {Holographic} {Environment} for {Multi}-user {Virtual} {Robot} {Training} {System}},X,-,-,-,X
{Intelligent {Virtual} {Environment} {Using} {Artificial} {Neural} {Networks}},-,-,-,-,X
